"Genre"	"MovieID"	"Rank"
"Action"	"260"	"1"
"Action"	"1196"	"2"
"Action"	"1210"	"3"
"Action"	"2028"	"4"
"Action"	"1198"	"5"
"Action"	"2571"	"6"
"Action"	"589"	"7"
"Action"	"110"	"8"
"Action"	"858"	"9"
"Action"	"480"	"10"
"Adventure"	"260"	"1"
"Adventure"	"1196"	"2"
"Adventure"	"1210"	"3"
"Adventure"	"1198"	"4"
"Adventure"	"480"	"5"
"Adventure"	"1197"	"6"
"Adventure"	"1580"	"7"
"Adventure"	"2628"	"8"
"Adventure"	"2916"	"9"
"Adventure"	"1259"	"10"
"Animation"	"1"	"1"
"Animation"	"3114"	"2"
"Animation"	"2987"	"3"
"Animation"	"2355"	"4"
"Animation"	"3751"	"5"
"Animation"	"588"	"6"
"Animation"	"2700"	"7"
"Animation"	"364"	"8"
"Animation"	"595"	"9"
"Animation"	"1148"	"10"
"Children's"	"1097"	"1"
"Children's"	"1"	"2"
"Children's"	"919"	"3"
"Children's"	"34"	"4"
"Children's"	"3114"	"5"
"Children's"	"2355"	"6"
"Children's"	"3751"	"7"
"Children's"	"588"	"8"
"Children's"	"1073"	"9"
"Children's"	"364"	"10"
"Comedy"	"2858"	"1"
"Comedy"	"1270"	"2"
"Comedy"	"1197"	"3"
"Comedy"	"2396"	"4"
"Comedy"	"1580"	"5"
"Comedy"	"2997"	"6"
"Comedy"	"1265"	"7"
"Comedy"	"356"	"8"
"Comedy"	"1"	"9"
"Comedy"	"2716"	"10"
"Crime"	"608"	"1"
"Crime"	"858"	"2"
"Crime"	"1617"	"3"
"Crime"	"296"	"4"
"Crime"	"50"	"5"
"Crime"	"1221"	"6"
"Crime"	"1213"	"7"
"Crime"	"2000"	"8"
"Crime"	"1089"	"9"
"Crime"	"592"	"10"
"Documentary"	"2064"	"1"
"Documentary"	"246"	"2"
"Documentary"	"162"	"3"
"Documentary"	"1147"	"4"
"Documentary"	"3007"	"5"
"Documentary"	"1189"	"6"
"Documentary"	"2859"	"7"
"Documentary"	"2677"	"8"
"Documentary"	"2693"	"9"
"Documentary"	"1649"	"10"
"Drama"	"2858"	"1"
"Drama"	"1196"	"2"
"Drama"	"2028"	"3"
"Drama"	"593"	"4"
"Drama"	"608"	"5"
"Drama"	"527"	"6"
"Drama"	"110"	"7"
"Drama"	"318"	"8"
"Drama"	"858"	"9"
"Drama"	"296"	"10"
"Fantasy"	"260"	"1"
"Fantasy"	"1097"	"2"
"Fantasy"	"2628"	"3"
"Fantasy"	"2797"	"4"
"Fantasy"	"2174"	"5"
"Fantasy"	"1073"	"6"
"Fantasy"	"2100"	"7"
"Fantasy"	"367"	"8"
"Fantasy"	"2968"	"9"
"Fantasy"	"2105"	"10"
"Film-Noir"	"1617"	"1"
"Film-Noir"	"541"	"2"
"Film-Noir"	"2987"	"3"
"Film-Noir"	"1252"	"4"
"Film-Noir"	"913"	"5"
"Film-Noir"	"1179"	"6"
"Film-Noir"	"1748"	"7"
"Film-Noir"	"1267"	"8"
"Film-Noir"	"3683"	"9"
"Film-Noir"	"3435"	"10"
"Horror"	"2716"	"1"
"Horror"	"1214"	"2"
"Horror"	"1387"	"3"
"Horror"	"1219"	"4"
"Horror"	"1278"	"5"
"Horror"	"1258"	"6"
"Horror"	"2657"	"7"
"Horror"	"2710"	"8"
"Horror"	"3081"	"9"
"Horror"	"2455"	"10"
"Musical"	"919"	"1"
"Musical"	"1220"	"2"
"Musical"	"588"	"3"
"Musical"	"1288"	"4"
"Musical"	"364"	"5"
"Musical"	"595"	"6"
"Musical"	"2657"	"7"
"Musical"	"1028"	"8"
"Musical"	"2081"	"9"
"Musical"	"551"	"10"
"Mystery"	"1617"	"1"
"Mystery"	"924"	"2"
"Mystery"	"648"	"3"
"Mystery"	"1252"	"4"
"Mystery"	"904"	"5"
"Mystery"	"3176"	"6"
"Mystery"	"913"	"7"
"Mystery"	"1732"	"8"
"Mystery"	"903"	"9"
"Mystery"	"1909"	"10"
"Romance"	"1210"	"1"
"Romance"	"1197"	"2"
"Romance"	"2396"	"3"
"Romance"	"1265"	"4"
"Romance"	"356"	"5"
"Romance"	"912"	"6"
"Romance"	"1307"	"7"
"Romance"	"377"	"8"
"Romance"	"1721"	"9"
"Romance"	"1230"	"10"
"Sci-Fi"	"260"	"1"
"Sci-Fi"	"1196"	"2"
"Sci-Fi"	"1210"	"3"
"Sci-Fi"	"2571"	"4"
"Sci-Fi"	"589"	"5"
"Sci-Fi"	"1270"	"6"
"Sci-Fi"	"480"	"7"
"Sci-Fi"	"1580"	"8"
"Sci-Fi"	"1097"	"9"
"Sci-Fi"	"1240"	"10"
"Thriller"	"593"	"1"
"Thriller"	"2571"	"2"
"Thriller"	"2762"	"3"
"Thriller"	"589"	"4"
"Thriller"	"608"	"5"
"Thriller"	"1617"	"6"
"Thriller"	"1240"	"7"
"Thriller"	"1214"	"8"
"Thriller"	"457"	"9"
"Thriller"	"50"	"10"
"War"	"1196"	"1"
"War"	"1210"	"2"
"War"	"2028"	"3"
"War"	"527"	"4"
"War"	"110"	"5"
"War"	"356"	"6"
"War"	"1200"	"7"
"War"	"912"	"8"
"War"	"750"	"9"
"War"	"780"	"10"
"Western"	"1304"	"1"
"Western"	"590"	"2"
"Western"	"3671"	"3"
"Western"	"1266"	"4"
"Western"	"2012"	"5"
"Western"	"1201"	"6"
"Western"	"368"	"7"
"Western"	"266"	"8"
"Western"	"3037"	"9"
"Western"	"2527"	"10"
